full_text,sentiment,predicted_sentiment
kadiv humas polri irjen polisi sandi nugroho membuka workshop training of trainer polri tahun anggaran workshop tersebut diikuti oleh peserta yang tidak hanya personel mabes polri tetapi juga polda jajaran,netral,netral
polisi ada kata generik ini bs diartikan kepada polisi di seluruh dunia kecuali ada penyebutan polisi indonesia atau polri oleh karena itu institusi polri gak usah geer kalo seseorang menyebut polisi itu belum tentu menyebut tentang anda salam,netral,netral
pernyataan tersebut disdanaikan oleh kapolri jenderal polisi dalam acara baksos polri presisi bersama mahasiswa aliansi badan eksekutif mahasiswa bem dan organisasi kemasyarakatan pemuda okp sinergi berbagi kebaikan untuk masyarakat,positif,positif
cek kebenarannya asean the straits times prabowo subianto polri kapolri kapolda jateng polisi retret magelang bakti penuh humanisme inews tvonenews,netral,netral
sobat polri yang mau jadi polisi yuk persiapkan dirimu sekarang juga dan jangan sdanai ketinggalan informasi dan tata cara pendaftaran silahkan kunjungi,netral,netral
mewakili kapolsek kerek kanit binmas aiptu aminin bersama forkopimcam hadir dalam kegiatan lintas sektoral triwulan yang di laksanakan oleh puskesmas kerek polri,netral,netral
yang disebut polisi di lagu sukatani itu bukan polisi polri yang sangat kita cintai yang mereka sebut itu polisi republik konoha yang kebetulan kata polisi dalam bahasa konoha ketika diterjemahkan ke bahasa indonesia tetap polisi,netral,netral
kapolsek merakurak menghadiri kegiatan sosialisasi persyaratan bakal calon perangkat desa di desa tlogowaru kec merakurak polri,netral,netral
kapolri polri polisi,netral,netral
halo sobat polri terima kasih atas informasinya kami akan segera menindaklanjuti perkara tersebut berkenan bagi korban agar melapor ke kantor polisi terdekat dengan membawa informasi lebih lanjut,netral,netral
mantab ndan terus perbaiki citra polri pecat anggota bermasalah masih banyak generasi muda yang baikbaik siap menjadi polisi baik,positif,positif
kapolri jenderal polisi drs listyo sigit prabowo memberikan bantuan sosial kepada masyarakat dalam rangka menyambut bulan suci ramadan bantuan sosial diberikan dalam acara baksos polri presisi bersama mahasiswa,positif,positif
pernyataan tersebut disdanaikan oleh kapolri jenderal polisi drs listyo sigit prabowo dalam acara baksos polri presisi bersama mahasiswa jakarta kamis sinergi berbagi kebaikan untuk masyarakat,positif,positif
kapolri jenderal polisi drs listyo sigit prabowo memberikan bantuan sosial kepada masyarakat dalam rangka menyambut bulan suci ramadan polri peduli dengan masyarakat dengan menggelar,positif,positif
polri menggelar baksos presisi dengan menyalurkan paket sembako kepada masyarakat di polda jajaran bantuan dilepas langsung oleh kapolri jenderal polisi drs listyo sigit prabowo m si bersama panglima tni jenderal tni h agus subiyanto se m si okp aliansi,positif,positif
panen raya jagung serentak tahap gugus tugas polri mendukung ketahanan pangan,positif,positif
polri menggelar baksos presisi dengan menyalurkan paket sembako kepada masyarakat di polda jajaran bantuan dilepas langsung oleh kapolri jenderal polisi drs listyo sigit prabowo bersama panglima tni jenderal tni h agus subiyanto se,positif,positif
mudik lancar jadi harapan semua berkat upaya maksimal dari pak polisi,positif,positif
kapolrestabes semarang kombes pol m syahduddi sik terjun langsung membagikan air mineral kepada demonstran menekankan pendekatan empati polisi komitmen pelayanan terbaik polri masyarakat,positif,positif
kapolri jenderal polisi drs listyo sigit prabowo memberikan bantuan sosial kepada masyarakat dalam rangka menyambut bulan suci ramadan bantuan sosial diberikan dalam acara baksos polri presisi bersama mahasiswa,positif,positif
ya betul lapor polisi masih bayar bayar bayar gadan membela yg benar atau membela yg punya uang nihberani ga nih tunjukin hasil kinerja kalian,negatif,negatif
buat pelajaran buat polisi yang masih hidup jangan semena mena terhadap rakyat kecil karena hidup kalian nggak lama di dunia suatu saat pasti mati dan dimintai pertanggungjawaban didepan tuhan,negatif,negatif
hahahha mati aja kau gausah hidup lagi sekalian semua polisi mati semua,negatif,negatif
sudahlah tidak perlu posting seperti ini lagi kasihan keluarga yang ditinggalkan membaca replyan warga x atau korban dari polisi yuk berbenah,negatif,negatif
kagak bakal dikerjain polisi pakk jangan ngimpi,negatif,negatif
dah nga muka polisi sama polisi india,negatif,negatif
ngomong saja kau pandakau coba urusan dgn polisi dgn status kau rakyat jelata sudah pasti habis kau diberdayakan dompetmu dgn institusi ini,negatif,negatif
polisi ga mdanu menjamin keselamatan rakyat,negatif,negatif
klo lu ga bisa bahasa inggris sini gw terjemahin orang polisi jahat banyak polisi yang di bagian baik tapi kalau polisi baik yg banyak itu gak nangkap polisi jahat mana mungkin mereka baik jadi semua polisi itu bajingan,negatif,negatif
lagu ini menydanaikan fakta yang sebenarnya tentang polisi kalau masih ada polisi yang tidak bisa menerima dan mengelak lirik lagu ini berarti polisi tersebut tolol,negatif,negatif
